,short_name,latest_market_value,highest_market_value,current_club,position,main_position,secondary_position,age,height,league_country,foot,player_agent,outfitter,league,on_loan_from,contract_expires,appearances,goals,assists,yellow,second_yellow,red,minutes_played,goals_conceded,clean_sheets,last_appearances,last_goals,last_yellow,last_second_yellow,last_red,last_goals_conceded,last_clean_sheets,last_assists,last_minutes_played,country,country_2
0,Ederson,61600000.0,77000000.0,Manchester City,Goalkeeper,Goalkeeper,0,27.0,1.88,England,left,Gestifute,Nike,Premier League,0,30.06.2025,44,0,0,3,0,1,3837,37,20,55,0,3,0,0,38,28,0,4980,Brazil,1
1,Zack Steffen,6600000.0,11000000.0,Manchester City,Goalkeeper,Goalkeeper,0,25.0,1.91,England,right,Wasserman,unknown,Premier League,0,0,18,0,0,0,0,0,1650,37,2,13,0,0,0,0,17,4,0,1170,United States,0
2,Arijanet Muric,1980000.0,2200000.0,Manchester City,Goalkeeper,Goalkeeper,0,21.0,1.98,England,right,11WINS,unknown,Premier League,0,30.06.2024,5,0,0,0,0,0,450,9,1,7,0,0,0,0,2,5,0,660,Kosovo,1
3,Claudio Bravo,1320000.0,16500000.0,Manchester City,Goalkeeper,Goalkeeper,0,37.0,1.84,England,right,unknown,adidas,Premier League,0,24.08.2020,17,0,0,0,0,1,1461,16,5,1,0,0,0,0,0,1,0,90,Chile,1
4,Scott Carson,880000.0,6600000.0,Manchester City,Goalkeeper,Goalkeeper,0,34.0,1.88,England,right,Wasserman,unknown,Premier League,1,31.05.2021,0,0,0,0,0,0,0,0,0,33,0,1,0,0,45,6,0,2970,England,0
5,Aymeric Laporte,66000000.0,82500000.0,Manchester City,Defender - Centre-Back,Centre-Back,1,26.0,1.9,England,left,unknown,unknown,Premier League,0,30.06.2025,20,1,0,1,0,0,1497,0,0,51,5,5,0,0,0,0,3,4352,France,0
6,John Stones,33000000.0,66000000.0,Manchester City,Defender - Centre-Back,Centre-Back,1,26.0,1.88,England,right,unknown,Nike,Premier League,0,30.06.2022,24,0,1,0,0,0,1554,0,0,39,0,1,0,0,0,0,1,2820,England,0
7,Nathan AkÃ©,30800000.0,38500000.0,Manchester City,Defender - Centre-Back,Centre-Back,1,25.0,1.8,England,left,Wasserman,Nike,Premier League,0,30.06.2025,30,2,2,2,0,0,2595,0,0,39,4,3,0,0,0,0,1,3502,Netherlands,1
8,Eric GarcÃ­a,17600000.0,17600000.0,Manchester City,Defender - Centre-Back,Centre-Back,1,19.0,1.83,England,right,"Puyol, De la PeÃ±a & Sostres",unknown,Premier League,0,30.06.2021,25,0,1,1,0,0,1868,0,0,21,2,0,0,0,0,0,1,1791,Spain,0
9,NicolÃ¡s Otamendi,15950000.0,38500000.0,Manchester City,Defender - Centre-Back,Centre-Back,1,32.0,1.83,England,right,Gestifute,Nike,Premier League,0,30.06.2022,39,3,0,5,0,0,2880,0,0,33,1,4,1,0,0,0,1,2478,Argentina,0
