player_id,p_index,position
242692,0,LW
242692,1,CAM
242692,2,RW
241924,0,CDM
241924,1,CM
241924,2,CB
220676,0,CB
212484,0,RW
212484,1,ST
212484,2,RM
244739,0,CM
244739,1,CDM
242691,0,LB
241923,0,RM
241923,1,RW
231171,0,CDM
231171,1,CM
230403,0,CB
230403,1,RB
217086,0,CM
217086,1,CDM
238589,0,CB
235261,0,CB
220669,0,ST
212477,0,CDM
212477,1,CM
212477,2,RM
200701,0,ST
200701,1,RW
199165,0,CB
241404,0,CB
241404,1,CDM
239356,0,CDM
239356,1,CM
232444,0,LB
232444,1,LM
219900,0,CM
219900,1,CDM
206332,0,CDM
206332,1,CM
201212,0,CB
189691,0,CAM
189691,1,RM
189691,2,LM
244987,0,GK
240891,0,CAM
240891,1,CM
240891,2,RM
240891,3,LM
239611,0,ST
235515,0,LM
235515,1,RM
225531,0,CB
219643,0,GK
247290,0,LB
235514,0,CB
230906,0,CM
226810,0,CB
226810,1,RB
201978,0,ST
190457,0,RM
190457,1,RW
220665,0,CB
205049,0,CB
200953,0,RM
200953,1,RW
242936,0,CM
242936,1,CAM
165880,0,CB
165880,1,LB
223224,0,ST
223224,1,RM
223224,2,LM
206584,0,RB
206584,1,RM
201208,0,CB
201208,1,RB
247287,0,ST
240119,0,RM
239095,0,RB
239095,1,CDM
239095,2,RWB
227575,0,RM
227575,1,ST
227575,2,LM
193014,0,LB
193014,1,LWB
190454,0,LB
180726,0,CDM
242166,0,LW
242166,1,RW
232438,0,LM
225014,0,CAM
225014,1,CM
225014,2,LW
232946,0,LM
232946,1,ST
232946,2,CF
208370,0,CM
208370,1,CDM
208370,2,LM
202482,0,LM
202482,1,RM
228593,0,CM
228593,1,CDM
226801,0,RB
226801,1,LB
226033,0,LB
226033,1,LWB
203249,0,CF
203249,1,RM
203249,2,CAM
244208,0,RM
244208,1,CAM
244208,2,LM
188399,0,LB
238319,0,RB
238319,1,RWB
234991,0,CM
234991,1,RM
215279,0,CDM
204783,0,RB
51694,0,GK
242670,0,CM
242670,1,CDM
237294,0,RM
237294,1,LM
232174,0,ST
232174,1,CB
231406,0,LW
231406,1,LM
231406,2,CAM
221934,0,CM
221934,1,CAM
221934,2,LM
214510,0,LB
53741,0,RM
53741,1,LM
177389,0,CM
177389,1,RWB
193260,0,ST
193260,1,LM
174572,0,ST
220140,0,CB
210156,0,CDM
210156,1,CM
137708,0,RB
193771,0,CAM
193771,1,CDM
193771,2,CM
241131,0,CDM
232171,0,CAM
232171,1,RM
243946,0,ST
222698,0,LB
220650,0,LW
220650,1,ST
214762,0,GK
206313,0,CM
240872,0,RB
238056,0,CDM
238056,1,CM
237032,0,CB
235496,0,CM
235496,1,CAM
235496,2,CDM
230888,0,CM
205288,0,GK
192231,0,CM
192231,1,LM
225511,0,GK
226785,0,CB
226785,1,CDM
220385,0,CB
217313,0,RM
234464,0,RM
234464,1,ST
234464,2,LM
231392,0,RB
231392,1,CB
230624,0,ST
216288,0,CDM
202464,0,RM
244703,0,CDM
244703,1,CAM
178143,0,GK
241887,0,CAM
241887,1,RM
232671,0,RM
232671,1,ST
232671,2,LM
232671,3,LW
230623,0,ST
230623,1,RM
220895,0,CDM
220895,1,CAM
220895,2,CM
220895,3,LM
220639,0,CDM
220639,1,CM
239838,0,LW
239838,1,RW
228318,0,LW
228318,1,LM
222430,0,RB
220894,0,CAM
220894,1,RM
213982,0,CB
200670,0,LB
188381,0,ST
186845,0,LM
186845,1,LB
183517,0,CM
183517,1,CDM
181725,0,CDM
181725,1,CM
226781,0,ST
226781,1,RW
200925,0,ST
200925,1,RM
181468,0,GK
246748,0,LB
246748,1,LW
242908,0,RM
242908,1,LM
240860,0,RM
240860,1,LM
222172,0,CM
214492,0,ST
214492,1,RM
214492,2,LM
214492,3,LW
207580,0,CM
207580,1,RWB
202204,0,RB
240859,0,CB
229083,0,LM
220123,0,CB
216795,0,ST
202715,0,ST
245978,0,CAM
179930,0,CAM
179930,1,LM
244186,0,LW
171994,0,CM
171994,1,LW
171994,2,LM
171994,3,CAM
210389,0,LB
210389,1,LWB
200917,0,CB
244948,0,CDM
