id,name,full_name,birth_date,age,height_cm,weight_kgs,nationality_id,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,release_clause_euro
242692,K. Nakamura,中村 慶太,1993-06-30,25,152.4,73.0,80,64,66,550000.0,1000.0,Right,1,4,3,High/ Medium,729000.0
241924,W. Vorsager,Wilhelm Vorsager,1997-06-29,21,187.96,78.0,10,64,73,600000.0,2000.0,Right,1,3,2,Medium/ Medium,990000.0
220676,V. Bergan,Vegard Bergan,1995-02-20,24,193.04,84.8,111,64,71,550000.0,1000.0,Right,1,3,2,Medium/ Medium,798000.0
212484,W. Burns,Wes Burns,1994-11-23,24,172.72,68.0,157,64,70,625000.0,2000.0,Right,1,3,3,Medium/ Medium,1200000.0
244739,E. Moreno,Ederson Moreno,1994-01-18,25,175.26,68.0,30,64,68,575000.0,1000.0,Left,1,3,3,Medium/ Medium,819000.0
242691,D. Cáceres,Jorge Darío Cáceres Ovelar,1998-01-26,21,152.4,64.0,116,64,76,700000.0,3000.0,Left,1,3,2,Medium/ Medium,1200000.0
241923,Vagner,Vagner José Dias Goncalves,1996-01-10,23,170.18,67.1,25,64,73,700000.0,6000.0,Right,1,3,3,Medium/ Medium,""
231171,N. Hazazi,Naif Abdullah Hazazi,1992-09-30,26,175.26,69.9,125,64,66,450000.0,4000.0,Right,1,3,2,Medium/ High,776000.0
230403,Peixotacinho,Allison Alan Peixoto Gomes,1984-02-29,35,187.96,83.0,19,64,64,140000.0,3000.0,Right,1,3,2,Medium/ Medium,266000.0
217086,C. Amissi,Cedric Amissi,1990-03-20,28,172.72,68.0,22,65,65,525000.0,6000.0,Right,1,3,3,Medium/ Medium,866000.0
238589,M. Rahn,Matthias Rahn,1990-05-17,28,195.57999999999998,92.1,58,65,66,500000.0,1000.0,Right,1,2,2,Medium/ Medium,763000.0
235261,L. Bogdan,Luka Bogdan,1996-03-26,22,195.57999999999998,76.2,34,65,73,675000.0,1000.0,Right,1,2,2,Medium/ Medium,1200000.0
220669,F. Okenabirhie,Fejiri Okenabirhie,1996-02-25,23,152.4,73.9,109,65,72,775000.0,3000.0,Right,1,4,3,Medium/ Medium,1500000.0
212477,J. Córdoba,Jherson Córdoba,1988-02-09,31,175.26,84.8,30,65,65,400000.0,1000.0,Right,1,3,2,Medium/ Low,540000.0
200701,G. Beretta,Giacomo Beretta,1992-03-14,26,185.42,83.0,77,65,66,650000.0,1000.0,Right,1,4,2,Medium/ Low,1100000.0
199165,Yang Jun A,양준아 梁准我,1989-06-13,29,187.96,81.2,85,65,65,425000.0,2000.0,Left,1,3,2,Medium/ Medium,531000.0
241404,M. Ortíz,Maximiliano Ortíz,1989-10-11,29,182.88,83.0,17,65,65,"","",Right,1,4,2,Medium/ Medium,""
239356,A. Matusiwa,Azor Matusiwa,1998-04-28,20,172.72,72.1,105,65,75,775000.0,3000.0,Right,1,2,3,Medium/ High,""
232444,N. Falasco,Nicola Falasco,1993-10-05,25,182.88,78.9,77,65,68,575000.0,1000.0,Left,1,2,3,Medium/ Medium,963000.0
219900,J. Dall'Oglio,Jacopo Dall'Oglio,1992-04-02,26,182.88,77.1,77,65,66,625000.0,1000.0,Right,1,4,3,Medium/ High,1000000.0
206332,G. Morrissey,Gearóid Morrissey,1991-11-17,27,182.88,81.2,121,65,66,525000.0,1000.0,Right,1,5,2,High/ Medium,853000.0
201212,A. Thompson,Adam Thompson,1992-09-28,26,182.88,78.0,110,65,67,550000.0,4000.0,Right,1,3,2,Medium/ Medium,1000000.0
189691,D. Ball,David  Ball,1989-12-14,29,182.88,74.8,45,65,65,550000.0,9000.0,Right,1,3,3,High/ Medium,""
244987,M. Álvarez,Milton Álvarez,1989-01-26,30,185.42,83.9,7,65,66,425000.0,4000.0,Left,1,3,1,Medium/ Medium,627000.0
240891,N. Sessa,Nicolás Sessa,1996-03-23,22,170.18,68.0,58,65,72,750000.0,1000.0,Left,1,2,3,Medium/ Low,1200000.0
239611,M. Eisa,Mo Eisa,1994-07-12,24,182.88,69.9,137,65,72,775000.0,10000.0,Right,1,3,3,High/ Medium,1600000.0
235515,Benito,Benito Ramírez del Toro,1995-07-11,23,152.4,73.9,134,65,73,800000.0,3000.0,Left,1,3,3,Medium/ Medium,""
225531,D. Van den Buijs,Dario Van den Buijs,1995-09-12,23,187.96,78.0,14,65,71,625000.0,2000.0,Left,1,3,2,Medium/ Medium,1000000.0
219643,O. Hadžikić,Osman Hadžikić,1996-03-12,22,185.42,84.8,10,65,71,550000.0,3000.0,Right,1,3,1,Medium/ Medium,908000.0
247290,H. Memolla,Hysen Memolla,1992-07-03,26,185.42,78.0,2,65,68,550000.0,1000.0,Left,1,4,2,Medium/ Medium,921000.0
235514,S. Al Rubaie,Saeed Awadh Al Yami,1994-06-04,24,187.96,79.8,125,65,71,625000.0,6000.0,Right,1,2,2,Low/ Medium,1200000.0
230906,K. Osorio,Kelvin Osorio,1993-10-29,25,182.88,76.2,30,65,70,700000.0,1000.0,Right,1,3,3,Medium/ Medium,998000.0
226810,A. Sandona,Agustín Sandona,1993-05-01,25,182.88,78.0,7,65,70,600000.0,4000.0,Right,1,3,2,Medium/ Medium,915000.0
201978,P. Parzyszek,Piotr Parzyszek,1993-09-08,25,190.5,79.8,119,65,69,725000.0,2000.0,Right,1,4,2,Medium/ Medium,1000000.0
190457,K. Tokstad,Kristoffer Tokstad,1991-07-05,27,185.42,83.9,111,65,65,575000.0,1000.0,Right,1,2,2,Medium/ Medium,719000.0
220665,G. Wüthrich,Gregory Wüthrich,1994-12-04,24,193.04,88.0,140,65,74,725000.0,4000.0,Right,1,2,2,Low/ Medium,1200000.0
205049,N. Ansell,Nick Ansell,1994-02-02,25,185.42,83.0,9,65,71,625000.0,2000.0,Right,1,3,2,Low/ Medium,906000.0
200953,C. Hemlein,Christoph Hemlein,1990-12-16,28,154.94,78.9,58,65,65,575000.0,2000.0,Right,1,3,3,Medium/ Medium,834000.0
242936,T. Mokoena,Teboho Mokoena,1997-01-24,22,175.26,72.1,132,65,72,"","",Right,1,3,3,Medium/ Medium,""
165880,Yang Sang Min,양상민 梁相珉,1984-04-24,34,182.88,78.0,85,65,65,160000.0,2000.0,Left,1,3,2,Medium/ High,200000.0
223224,M. Jakoliš,Marin Jakoliš,1996-12-26,22,182.88,69.9,34,65,72,775000.0,3000.0,Right,1,3,2,Medium/ Medium,1300000.0
206584,J. Tveita,Jon Helge Tveita,1992-01-27,27,182.88,79.8,111,65,66,525000.0,1000.0,Right,1,3,2,Medium/ High,696000.0
201208,D. Henry,Doneil Henry,1993-04-20,25,187.96,82.1,24,65,70,600000.0,2000.0,Right,1,2,2,Medium/ Medium,915000.0
247287,Caíque,Caíque Venâncio Lemes,1993-07-12,25,185.42,74.8,19,65,70,725000.0,3000.0,Right,1,3,3,Medium/ High,1600000.0
240119,K. Michalak,Konrad Michalak,1997-09-19,21,175.26,60.8,119,65,76,925000.0,2000.0,Right,1,2,3,Medium/ Medium,1400000.0
239095,J. Schryvers,Jur Schryvers,1997-03-11,21,154.94,73.0,14,65,73,675000.0,2000.0,Right,1,3,2,Medium/ Medium,1100000.0
227575,M. Riascos,John Misael Riascos Silva,1991-03-29,27,172.72,73.0,30,65,65,575000.0,1000.0,Right,1,4,3,Medium/ Medium,776000.0
193014,C. Evina,Cedric Evina,1991-11-16,27,154.94,79.8,23,65,65,450000.0,5000.0,Left,1,2,2,High/ Medium,788000.0
190454,S. Ringstad,Stian Ringstad,1991-08-29,27,187.96,79.8,111,65,66,525000.0,1000.0,Left,1,3,3,High/ Medium,696000.0
180726,M. McKay,Matt McKay,1983-01-11,36,170.18,64.9,9,65,65,130000.0,1000.0,Left,1,3,2,Medium/ High,163000.0
242166,A. Layouni,Amor Layouni,1992-10-03,26,190.5,79.8,139,65,66,650000.0,1000.0,Left,1,4,3,Medium/ Medium,861000.0
232438,G. Nepomuceno,Gevaro Nepomuceno,1992-11-10,26,175.26,77.1,36,65,66,650000.0,4000.0,Left,1,3,3,Medium/ Low,1200000.0
